#tax_id	GeneID	relationship	Other_tax_id	Other_GeneID
7070	641505	Ortholog	7048	115881920
7070	641505	Ortholog	7054	116177313
7070	641505	Ortholog	7067	138126727
7070	641505	Ortholog	7539	111509259
7070	641505	Ortholog	41139	123313116
7070	641505	Ortholog	41895	123013702
7070	641505	Ortholog	50390	114334348
7070	641505	Ortholog	77166	109545443
7070	641505	Ortholog	116153	109597638
7070	641505	Ortholog	197179	132704342
7070	641505	Ortholog	217634	108914806
7070	641505	Ortholog	995702	136341392
7070	641505	Ortholog	1163345	130902036
7070	641505	Ortholog	1163346	130444568
7070	641505	Ortholog	1736056	136413585
7070	641505	Ortholog	2755281	135136144
7070	641505	Ortholog	2921223	126746200
7070	641512	Ortholog	7067	138134607
7070	641512	Ortholog	41895	123008212
7070	641512	Ortholog	2755281	135126768
7070	641512	Ortholog	2921223	126736336
7070	641530	Ortholog	7048	115885519
7070	641530	Ortholog	7054	116167264
7070	641530	Ortholog	7067	138135637
7070	641530	Ortholog	41895	123007495
7070	641530	Ortholog	50390	114334085
7070	641530	Ortholog	77166	109533436
7070	641530	Ortholog	110193	108562214
7070	641530	Ortholog	116153	109604185
7070	641530	Ortholog	166361	111418587
7070	641530	Ortholog	197179	132700859
7070	641530	Ortholog	217634	108909571
7070	641530	Ortholog	224129	108741780
7070	641530	Ortholog	995702	136345706
7070	641530	Ortholog	1163345	130894518
7070	641530	Ortholog	1163346	130447129
7070	641530	Ortholog	1736056	136409404
7070	641530	Ortholog	2755281	135127451
7070	641530	Ortholog	2921223	126747954
7070	641531	Ortholog	7048	115878800
7070	641531	Ortholog	7054	116176738
7070	641531	Ortholog	7067	138126639
7070	641531	Ortholog	7539	111513068
7070	641531	Ortholog	41139	123314273
7070	641531	Ortholog	41895	123011151
7070	641531	Ortholog	50390	114325580
7070	641531	Ortholog	77166	109542094
7070	641531	Ortholog	110193	108557835
7070	641531	Ortholog	115357	123680621
7070	641531	Ortholog	116153	109600501
7070	641531	Ortholog	166361	111425917
7070	641531	Ortholog	197179	132703539
7070	641531	Ortholog	217634	108910893
7070	641531	Ortholog	224129	108741819
