#tax_id	GeneID	Symbol	LocusTag	Synonyms	dbXrefs	chromosome	map_location	description	type_of_gene	Symbol_from_nomenclature_authority	Full_name_from_nomenclature_authority	Nomenclature_status	Other_designations	Modification_date	Feature_type
24	67441666	moaA	JEZ96_RS00370	-	-	-	-	GTP 3',8-cyclase MoaA	protein-coding	-	-	-	GTP 3',8-cyclase MoaA	20260210	-
24	67441667	JEZ96_RS00375	JEZ96_RS00375	-	-	-	-	bifunctional molybdopterin-guanine dinucleotide biosynthesis adaptor protein MobB/molybdopterin molybdotransferase MoeA	protein-coding	-	-	-	bifunctional molybdopterin-guanine dinucleotide biosynthesis adaptor protein MobB/molybdopterin molybdotransferase MoeA	20260210	-
24	67441668	mobA	JEZ96_RS00380	-	-	-	-	molybdenum cofactor guanylyltransferase MobA	protein-coding	-	-	-	molybdenum cofactor guanylyltransferase MobA	20260210	-
24	67441669	JEZ96_RS00385	JEZ96_RS00385	-	-	-	-	ABC transporter ATP-binding protein	protein-coding	-	-	-	ABC transporter ATP-binding protein	20260210	-
24	67441670	JEZ96_RS00390	JEZ96_RS00390	-	-	-	-	ABC transporter permease	protein-coding	-	-	-	ABC transporter permease	20260210	-
24	67441671	JEZ96_RS00395	JEZ96_RS00395	-	-	-	-	substrate-binding domain-containing protein	protein-coding	-	-	-	substrate-binding domain-containing protein	20260210	-
24	67441672	JEZ96_RS00400	JEZ96_RS00400	-	-	-	-	sigma-54-dependent transcriptional regulator	protein-coding	-	-	-	sigma-54-dependent transcriptional regulator	20260210	-
24	67441673	JEZ96_RS00405	JEZ96_RS00405	-	-	-	-	sensor histidine kinase	protein-coding	-	-	-	sensor histidine kinase	20260210	-
24	67441674	JEZ96_RS00410	JEZ96_RS00410	-	-	-	-	GNAT family N-acetyltransferase	protein-coding	-	-	-	GNAT family N-acetyltransferase	20260210	-
24	67441675	JEZ96_RS00415	JEZ96_RS00415	-	-	-	-	7-cyano-7-deazaguanine/7-aminomethyl-7-deazaguanine transporter	protein-coding	-	-	-	7-cyano-7-deazaguanine/7-aminomethyl-7-deazaguanine transporter	20260210	-
24	67441676	JEZ96_RS00420	JEZ96_RS00420	-	-	-	-	hypothetical protein	protein-coding	-	-	-	hypothetical protein	20260210	-
24	67441677	JEZ96_RS00425	JEZ96_RS00425	-	-	-	-	isochorismate synthase	protein-coding	-	-	-	isochorismate synthase	20260210	-
24	67441678	JEZ96_RS00430	JEZ96_RS00430	-	-	-	-	ATP-binding cassette domain-containing protein	protein-coding	-	-	-	ATP-binding cassette domain-containing protein	20260210	-
24	67441679	JEZ96_RS00435	JEZ96_RS00435	-	-	-	-	HD-GYP domain-containing protein	protein-coding	-	-	-	HD-GYP domain-containing protein	20260210	-
24	67441680	JEZ96_RS00440	JEZ96_RS00440	-	-	-	-	paraquat-inducible protein A	protein-coding	-	-	-	paraquat-inducible protein A	20260210	-
24	67441681	JEZ96_RS00445	JEZ96_RS00445	-	-	-	-	hypothetical protein	protein-coding	-	-	-	hypothetical protein	20260210	-
24	67441682	JEZ96_RS00450	JEZ96_RS00450	-	-	-	-	YeiH family protein	protein-coding	-	-	-	YeiH family protein	20260210	-
24	67441683	JEZ96_RS00455	JEZ96_RS00455	-	-	-	-	aldolase/citrate lyase/malate synthase family protein	protein-coding	-	-	-	aldolase/citrate lyase/malate synthase family protein	20260210	-
24	67441684	JEZ96_RS00460	JEZ96_RS00460	-	-	-	-	DUF3612 domain-containing protein	protein-coding	-	-	-	DUF3612 domain-containing protein	20260210	-
24	67441685	JEZ96_RS00465	JEZ96_RS00465	-	-	-	-	homocysteine S-methyltransferase family protein	protein-coding	-	-	-	homocysteine S-methyltransferase family protein	20260210	-
24	67441686	JEZ96_RS00470	JEZ96_RS00470	-	-	-	-	basic amino acid/polyamine antiporter	protein-coding	-	-	-	basic amino acid/polyamine antiporter	20260210	-
24	67441687	JEZ96_RS00475	JEZ96_RS00475	-	-	-	-	TonB-dependent siderophore receptor	protein-coding	-	-	-	TonB-dependent siderophore receptor	20260210	-
24	67441688	cyoE	JEZ96_RS00480	-	-	-	-	heme o synthase	protein-coding	-	-	-	heme o synthase	20260210	-
24	67441689	cyoD	JEZ96_RS00485	-	-	-	-	cytochrome o ubiquinol oxidase subunit IV	protein-coding	-	-	-	cytochrome o ubiquinol oxidase subunit IV	20260210	-
24	67441690	cyoC	JEZ96_RS00490	-	-	-	-	cytochrome o ubiquinol oxidase subunit III	protein-coding	-	-	-	cytochrome o ubiquinol oxidase subunit III	20260210	-
24	67441691	cyoB	JEZ96_RS00495	-	-	-	-	cytochrome o ubiquinol oxidase subunit I	protein-coding	-	-	-	cytochrome o ubiquinol oxidase subunit I	20260210	-
24	67441692	cyoA	JEZ96_RS00500	-	-	-	-	ubiquinol oxidase subunit II	protein-coding	-	-	-	ubiquinol oxidase subunit II	20260210	-
24	67441693	JEZ96_RS00505	JEZ96_RS00505	-	-	-	-	hypothetical protein	protein-coding	-	-	-	hypothetical protein	20260210	-
24	67441694	JEZ96_RS00510	JEZ96_RS00510	-	-	-	-	EAL domain-containing protein	protein-coding	-	-	-	EAL domain-containing protein	20260210	-
24	67441695	JEZ96_RS00515	JEZ96_RS00515	-	-	-	-	hypothetical protein	protein-coding	-	-	-	hypothetical protein	20260210	-
24	67441696	JEZ96_RS00520	JEZ96_RS00520	-	-	-	-	DUF3300 domain-containing protein	protein-coding	-	-	-	DUF3300 domain-containing protein	20260210	-
24	67441697	JEZ96_RS00525	JEZ96_RS00525	-	-	-	-	ATP-binding protein	protein-coding	-	-	-	ATP-binding protein	20260210	-
24	67441698	JEZ96_RS00530	JEZ96_RS00530	-	-	-	-	response regulator transcription factor	protein-coding	-	-	-	response regulator transcription factor	20260210	-
