#tax_id	GeneID	Symbol	LocusTag	Synonyms	dbXrefs	chromosome	map_location	description	type_of_gene	Symbol_from_nomenclature_authority	Full_name_from_nomenclature_authority	Nomenclature_status	Other_designations	Modification_date	Feature_type
24	67441742	JEZ96_RS00750	JEZ96_RS00750	-	-	-	-	tRNA-Thr	tRNA	-	-	-	-	20241215	-
24	67441743	JEZ96_RS00755	JEZ96_RS00755	-	-	-	-	tRNA-Tyr	tRNA	-	-	-	-	20241215	-
24	67441744	JEZ96_RS00760	JEZ96_RS00760	-	-	-	-	tRNA-Gly	tRNA	-	-	-	-	20241215	-
24	67441745	JEZ96_RS00765	JEZ96_RS00765	-	-	-	-	tRNA-Thr	tRNA	-	-	-	-	20241215	-
24	67441746	tuf	JEZ96_RS00770	-	-	-	-	elongation factor Tu	protein-coding	-	-	-	elongation factor Tu	20260210	-
24	67441747	secE	JEZ96_RS00775	-	-	-	-	preprotein translocase subunit SecE	protein-coding	-	-	-	preprotein translocase subunit SecE	20260210	-
24	67441748	nusG	JEZ96_RS00780	-	-	-	-	transcription termination/antitermination protein NusG	protein-coding	-	-	-	transcription termination/antitermination protein NusG	20260210	-
24	67441749	rplK	JEZ96_RS00785	-	-	-	-	50S ribosomal protein L11	protein-coding	-	-	-	50S ribosomal protein L11	20260210	-
24	67441750	rplA	JEZ96_RS00790	-	-	-	-	50S ribosomal protein L1	protein-coding	-	-	-	50S ribosomal protein L1	20260210	-
24	67441751	rplJ	JEZ96_RS00795	-	-	-	-	50S ribosomal protein L10	protein-coding	-	-	-	50S ribosomal protein L10	20260210	-
24	67441752	rplL	JEZ96_RS00800	-	-	-	-	50S ribosomal protein L7/L12	protein-coding	-	-	-	50S ribosomal protein L7/L12	20260210	-
24	67441753	rpoB	JEZ96_RS00805	-	-	-	-	DNA-directed RNA polymerase subunit beta	protein-coding	-	-	-	DNA-directed RNA polymerase subunit beta	20260210	-
24	67441754	rpoC	JEZ96_RS00810	-	-	-	-	DNA-directed RNA polymerase subunit beta'	protein-coding	-	-	-	DNA-directed RNA polymerase subunit beta'	20260210	-
24	67441755	rpsL	JEZ96_RS00815	-	-	-	-	30S ribosomal protein S12	protein-coding	-	-	-	30S ribosomal protein S12	20260210	-
24	67441756	rpsG	JEZ96_RS00820	-	-	-	-	30S ribosomal protein S7	protein-coding	-	-	-	30S ribosomal protein S7	20260210	-
24	67441757	fusA	JEZ96_RS00825	-	-	-	-	elongation factor G	protein-coding	-	-	-	elongation factor G	20260210	-
24	67441758	tuf	JEZ96_RS00830	-	-	-	-	elongation factor Tu	protein-coding	-	-	-	elongation factor Tu	20260210	-
24	67441759	rpsJ	JEZ96_RS00835	-	-	-	-	30S ribosomal protein S10	protein-coding	-	-	-	30S ribosomal protein S10	20260210	-
24	67441760	rplC	JEZ96_RS00840	-	-	-	-	50S ribosomal protein L3	protein-coding	-	-	-	50S ribosomal protein L3	20260210	-
24	67441761	rplD	JEZ96_RS00845	-	-	-	-	50S ribosomal protein L4	protein-coding	-	-	-	50S ribosomal protein L4	20260210	-
24	67441762	rplW	JEZ96_RS00850	-	-	-	-	50S ribosomal protein L23	protein-coding	-	-	-	50S ribosomal protein L23	20260210	-
24	67441763	rplB	JEZ96_RS00855	-	-	-	-	50S ribosomal protein L2	protein-coding	-	-	-	50S ribosomal protein L2	20260210	-
24	67441764	rpsS	JEZ96_RS00860	-	-	-	-	30S ribosomal protein S19	protein-coding	-	-	-	30S ribosomal protein S19	20260210	-
24	67441765	rplV	JEZ96_RS00865	-	-	-	-	50S ribosomal protein L22	protein-coding	-	-	-	50S ribosomal protein L22	20260210	-
24	67441766	rpsC	JEZ96_RS00870	-	-	-	-	30S ribosomal protein S3	protein-coding	-	-	-	30S ribosomal protein S3	20260210	-
24	67441767	rplP	JEZ96_RS00875	-	-	-	-	50S ribosomal protein L16	protein-coding	-	-	-	50S ribosomal protein L16	20260210	-
24	67441768	rpmC	JEZ96_RS00880	-	-	-	-	50S ribosomal protein L29	protein-coding	-	-	-	50S ribosomal protein L29	20260210	-
24	67441769	rpsQ	JEZ96_RS00885	-	-	-	-	30S ribosomal protein S17	protein-coding	-	-	-	30S ribosomal protein S17	20260210	-
24	67441770	rplN	JEZ96_RS00890	-	-	-	-	50S ribosomal protein L14	protein-coding	-	-	-	50S ribosomal protein L14	20260210	-
24	67441771	rplX	JEZ96_RS00895	-	-	-	-	50S ribosomal protein L24	protein-coding	-	-	-	50S ribosomal protein L24	20260210	-
24	67441772	rplE	JEZ96_RS00900	-	-	-	-	50S ribosomal protein L5	protein-coding	-	-	-	50S ribosomal protein L5	20260210	-
24	67441773	rpsN	JEZ96_RS00905	-	-	-	-	30S ribosomal protein S14	protein-coding	-	-	-	30S ribosomal protein S14	20260210	-
24	67441774	rpsH	JEZ96_RS00910	-	-	-	-	30S ribosomal protein S8	protein-coding	-	-	-	30S ribosomal protein S8	20260210	-
24	67441775	rplF	JEZ96_RS00915	-	-	-	-	50S ribosomal protein L6	protein-coding	-	-	-	50S ribosomal protein L6	20260210	-
24	67441776	rplR	JEZ96_RS00920	-	-	-	-	50S ribosomal protein L18	protein-coding	-	-	-	50S ribosomal protein L18	20260210	-
24	67441777	rpsE	JEZ96_RS00925	-	-	-	-	30S ribosomal protein S5	protein-coding	-	-	-	30S ribosomal protein S5	20260210	-
24	67441778	rpmD	JEZ96_RS00930	-	-	-	-	50S ribosomal protein L30	protein-coding	-	-	-	50S ribosomal protein L30	20260210	-
24	67441779	rplO	JEZ96_RS00935	-	-	-	-	50S ribosomal protein L15	protein-coding	-	-	-	50S ribosomal protein L15	20260210	-
24	67441780	secY	JEZ96_RS00940	-	-	-	-	preprotein translocase subunit SecY	protein-coding	-	-	-	preprotein translocase subunit SecY	20260210	-
24	67441781	rpmJ	JEZ96_RS00945	-	-	-	-	50S ribosomal protein L36	protein-coding	-	-	-	50S ribosomal protein L36	20260210	-
24	67441782	rpsM	JEZ96_RS00950	-	-	-	-	30S ribosomal protein S13	protein-coding	-	-	-	30S ribosomal protein S13	20260210	-
24	67441783	rpsK	JEZ96_RS00955	-	-	-	-	30S ribosomal protein S11	protein-coding	-	-	-	30S ribosomal protein S11	20260210	-
24	67441784	rpsD	JEZ96_RS00960	-	-	-	-	30S ribosomal protein S4	protein-coding	-	-	-	30S ribosomal protein S4	20260210	-
24	67441785	JEZ96_RS00965	JEZ96_RS00965	-	-	-	-	DNA-directed RNA polymerase subunit alpha	protein-coding	-	-	-	DNA-directed RNA polymerase subunit alpha	20260210	-
24	67441786	rplQ	JEZ96_RS00970	-	-	-	-	50S ribosomal protein L17	protein-coding	-	-	-	50S ribosomal protein L17	20260210	-
24	67441787	ccmE	JEZ96_RS00975	-	-	-	-	cytochrome c maturation protein CcmE	protein-coding	-	-	-	cytochrome c maturation protein CcmE	20260210	-
24	67441788	ccmD	JEZ96_RS00980	-	-	-	-	heme exporter protein CcmD	protein-coding	-	-	-	heme exporter protein CcmD	20260210	-
